Category	Question	Answer
Facts	Question: What is the highest-grossing Christmas movie of all time?	Answer: The 2018 release of The Grinch
Facts	Question: How old is Santa Claus?	Answer: Santa is 1,752 years old
Facts	Question: Which U.S. state was the first to declare Christmas an official holiday?	Answer: Alabama
Facts	Question: What was the original title for the popular Christmas song "The Little Drummer Boy?"	Answer: "Carol of the Drum"
Facts	Question: What well-known Christmas carol became the first song ever broadcast from space in 1965?	Answer: "Jingle Bells"
Facts	Question: In what U.S. state is there a city named North Pole?	Answer: Alaska
Facts	Question: In what century was the term “Xmas” coined?	Answer: The 16th century
Facts	Question: What year was the first Christmas tree lit up in New York City's Rockefeller Center?	Answer: 1933
Facts	Question: What country started the tradition of putting up a Christmas tree?	Answer: Germany
Facts	Question: When was the first Christmas card sent?	Answer: In 1843
Movie	Question: In Home Alone, where are the McCallisters going on vacation when they leave Kevin behind?	Answer: Paris
Movie	Question: What falls out of the main character's pocket in The Polar Express?	Answer: A bell
Movie	Question: What real life department store is the movie Miracle on 34th Street based on?	Answer: Macy’s
Movie	Question: What is Scrooge's first name in A Christmas Carol?	Answer: Ebenezer
Movie	Question: In the opening scene of A Charlie Brown Christmas, the characters are seen enjoying what recreational winter activity?	Answer: Ice skating
Movie	Question: What made Frosty come to life in the movie Frosty the Snowman?	Answer: His hat
Movie	Question: What is the name of the last ghost that visits Scrooge in A Christmas Carol?	Answer: The Ghost of Christmas Yet To Come
Movie	Question: What is the name of George Bailey’s guardian angel in It’s A Wonderful Life?	Answer: Clarence Odbody
Movie	Question: What action movie is often called a Christmas film?	Answer: Die Hard
Movie	Question: Who tries to stop Christmas by stealing gifts and decorations from the entire town?	Answer: The Grinch
Easy	Question: Where does Santa Claus live?	Answer: The North Pole
Easy	Question: What song do the lyrics, “You will get a sentimental feeling when you hear voices singing, ‘Let's be jolly! Deck the halls with boughs of holly.’” come from?	Answer: “Rockin’ Around the Christmas Tree” by Brenda LeeRelated Story
Easy	Question: How does Santa enter homes on Christmas?	Answer: Through the chimney
Easy	Question: What does Santa say when greeting people?	Answer: “Ho, ho, ho! Merry Christmas!”
Easy	Question: According to the poem, "Twas the Night Before Christmas," what dances in children’s heads as they sleep?	Answer: Visions of sugar plums
Easy	Question: What is the job of Santa’s elves?	Answer: To make toys
Easy	Question: What date is Christmas Day?	Answer: December 25
Easy	Question: What does Santa fill above the fireplace?	Answer: Stockings
Easy	Question: What is it called when people sing from door to door?	Answer: Caroling
Easy	Question: What does the famous Spanish phrase “Feliz Navidad” mean?	Answer: "Merry Christmas"
Easy	Question: Under what type of plant are people supposed to kiss at Christmas time?	Answer: Mistletoe
Easy	Question: Traditionally, what ornament must be placed atop a Christmas tree?	Answer: An angel or a star
Medium	Question: In the song "The Twelve Days of Christmas," what is given on the 7th day?	Answer: Swans a-swimming
Medium	Question: How many times does Santa check his naughty and nice list?	Answer: Twice
Medium	Question: What are Santa’s favorite colors? (Hint: there are 3)	Answer: Red, white, and green
Medium	Question: Who is Santa married to?	Answer: Mrs. Claus
Medium	Question: How big was the Grinch’s heart?	Answer: Two sizes too small
Medium	Question: What do naughty kids receive on Christmas morning?	Answer: Lumps of coal
Medium	Question: Who got ran over by a reindeer on Christmas Eve?	Answer: Grandma
